Municipio;Densidade;Area;Populacao;NivelDensidade;CasosCovid19
Quartel Geral (MG);5,94;556,4;3305;Baixo;0
Queluzito (MG);12,12;153,6;1862;Baixo;0
Raposos (MG);212,58;72,2;15348;Alto;0
Raul Soares (MG);31,2;763,4;23818;Médio;0
Recreio (MG);43,96;234,3;10300;Médio;0
Reduto (MG);43,26;151,9;6571;Médio;0
Resende Costa (MG);17,65;618,3;10913;Baixo;0
Resplendor (MG);15,8;1081,8;17092;Baixo;0
Ressaquinha (MG);25,52;184,6;4711;Baixo;0
Riachinho (MG);4,5;1780,6;8013;Baixo;0
Riacho dos Machados (MG);7,11;1315,5;9353;Baixo;0
Ribeirão das Neves (MG);1917,9;154,5;296316;Alto;1
Ribeirão Vermelho (MG);77,68;49,3;3830;Médio;0
Rio Acima (MG);39,55;229,8;9089;Médio;0
Rio Casca (MG);36,95;384,4;14204;Médio;0
Rio Doce (MG);21,99;112,1;2465;Baixo;0
Rio do Prado (MG);10,87;479,8;5215;Baixo;0
Rio Espera (MG);25,44;238,6;6070;Baixo;0
Rio Manso (MG);22,79;231,5;5276;Baixo;0
Rio Novo (MG);41,62;209,3;8711;Médio;0
Rio Paranaíba (MG);8,79;1352,4;11888;Baixo;0
Rio Pardo de Minas (MG);9,33;3117,4;29085;Baixo;0
Rio Piracicaba (MG);37,93;373;14148;Médio;0
Rio Pomba (MG);67,78;252,4;17108;Médio;0
Rio Preto (MG);15,2;348,1;5291;Baixo;0
Rio Vermelho (MG);13,83;986,6;13645;Baixo;0
Ritápolis (MG);12,17;404,8;4926;Baixo;0
Rochedo de Minas (MG);26,65;79,4;2116;Baixo;0
Rodeiro (MG);94,49;72,7;6869;Médio;0
Romaria (MG);8,82;407,6;3595;Baixo;0
Rosário da Limeira (MG);38,21;111,2;4249;Médio;0
Rubelita (MG);7;1110,3;7772;Baixo;0
Rubim (MG);10,28;965,2;9922;Baixo;0
Sabará (MG);417,87;302,2;126280;Alto;7
Sabinópolis (MG);17,07;919,8;15701;Baixo;0
Sacramento (MG);7,78;3073,3;23910;Baixo;0
Salinas (MG);20,75;1887,6;39168;Baixo;0
Salto da Divisa (MG);7,31;937,9;6856;Baixo;0
Santa Bárbara (MG);40,75;684,1;27877;Médio;0
Santa Bárbara do Leste (MG);71,53;107,4;7682;Médio;0
Santa Bárbara do Monte Verde (MG);6,67;417,8;2787;Baixo;0
Santa Bárbara do Tugúrio (MG);23,49;194,6;4571;Baixo;0
Santa Cruz de Minas (MG);2206,17;3,6;7942;Alto;0
Santa Cruz de Salinas (MG);7,46;589,6;4398;Baixo;0
Santa Cruz do Escalvado (MG);19,29;258,7;4990;Baixo;0
Santa Efigênia de Minas (MG);34,86;132;4602;Médio;0
Santa Fé de Minas (MG);1,36;2917,4;3968;Baixo;0
Santa Helena de Minas (MG);21,9;276,4;6053;Baixo;0
Santa Juliana (MG);15,66;723,8;11335;Baixo;0
Santa Luzia (MG);862,38;235,3;202918;Alto;1
Santa Margarida (MG);58,7;255,7;15010;Médio;0
Santa Maria de Itabira (MG);17,66;597,4;10550;Baixo;0
Santa Maria do Salto (MG);11,99;440,6;5283;Baixo;0
Santa Maria do Suaçuí (MG);23,07;624;14396;Baixo;0
Santana da Vargem (MG);41,93;172,4;7229;Médio;0
Santana de Cataguases (MG);22,43;161,5;3622;Baixo;0
Santana de Pirapama (MG);6,38;1255,8;8012;Baixo;0
Santana do Deserto (MG);21,13;182,7;3860;Baixo;0
Santana do Garambéu (MG);11;203,1;2234;Baixo;0
Santana do Jacaré (MG);43,39;106,2;4608;Médio;0
Santana do Manhuaçu (MG);24,71;347,4;8584;Baixo;0
Santana do Paraíso (MG);98,76;276,1;27268;Médio;1
Santana do Riacho (MG);5,94;677,2;4023;Baixo;0
Santana dos Montes (MG);19,44;196,6;3822;Baixo;0
Santa Rita de Caldas (MG);17,95;503;9029;Baixo;0
Santa Rita de Jacutinga (MG);11,86;420,9;4992;Baixo;0
Santa Rita de Minas (MG);96,06;68,2;6551;Médio;0
Santa Rita de Ibitipoca (MG);11,05;324,2;3582;Baixo;0
Santa Rita do Itueto (MG);11,74;485,1;5695;Baixo;0
Santa Rita do Sapucaí (MG);106,96;353;37757;Alto;0
Santa Rosa da Serra (MG);11,34;284,3;3224;Baixo;0
Santa Vitória (MG);6,04;3001,4;18128;Baixo;0
Santo Antônio do Amparo (MG);35,48;488,9;17346;Médio;0
Santo Antônio do Aventureiro (MG);17,51;202;3537;Baixo;0
Santo Antônio do Grama (MG);31,37;130,2;4084;Médio;0
Santo Antônio do Itambé (MG);13,52;305,7;4133;Baixo;0
Santo Antônio do Jacinto (MG);23,39;503,4;11775;Baixo;0
Santo Antônio do Monte (MG);23,07;1125,8;25972;Baixo;2
Santo Antônio do Retiro (MG);8,73;796,3;6952;Baixo;0
Santo Antônio do Rio Abaixo (MG);16,57;107,3;1778;Baixo;0
Santo Hipólito (MG);7,52;430,7;3239;Baixo;0
Santos Dumont (MG);72,62;637,4;46288;Médio;0
São Bento Abade (MG);56,93;80,4;4577;Médio;0
São Brás do Suaçuí (MG);31,93;110;3512;Médio;0
São Domingos das Dores (MG);88,85;60,9;5411;Médio;0
São Domingos do Prata (MG);23,34;743,8;17360;Baixo;0
São Félix de Minas (MG);20,8;162,6;3382;Baixo;0
São Francisco (MG);16,27;3308,1;53823;Baixo;0
São Francisco de Paula (MG);20,46;316,8;6482;Baixo;0
São Francisco de Sales (MG);5,12;1128,9;5780;Baixo;0
São Francisco do Glória (MG);31,46;164,6;5178;Médio;0
São Geraldo (MG);55,3;185,6;10264;Médio;0
São Geraldo da Piedade (MG);28,81;152,3;4388;Baixo;0
São Geraldo do Baixio (MG);12,41;281;3487;Baixo;0
São Gonçalo do Abaeté (MG);2,33;2692,2;6273;Baixo;0
São Gonçalo do Pará (MG);39,13;265,7;10397;Médio;0
São Gonçalo do Rio Abaixo (MG);26,87;363,8;9775;Baixo;0
São Gonçalo do Sapucaí (MG);46,27;516,7;23908;Médio;0
São Gotardo (MG);36,74;866,1;31821;Médio;0
São João Batista do Glória (MG);12,57;547,9;6887;Baixo;0
São João da Lagoa (MG);4,67;998;4661;Baixo;0
São João da Mata (MG);22,66;120,5;2731;Baixo;0
São João da Ponte (MG);13,7;1851,1;25360;Baixo;0
São João das Missões (MG);17,27;678,3;11714;Baixo;0
São João del Rei (MG);57,68;1464,3;84461;Médio;5
São João do Manhuaçu (MG);71,6;143,1;10246;Médio;0
São João do Manteninha (MG);37,61;137,9;5186;Médio;0
São João do Oriente (MG);65,55;120,1;7873;Médio;0
São João do Pacuí (MG);9,76;415,9;4059;Baixo;0
São João do Paraíso (MG);11,59;1925,6;22318;Baixo;0
São João Evangelista (MG);32,53;478,2;15556;Médio;0
São João Nepomuceno (MG);61,5;407,4;25055;Médio;0
São Joaquim de Bicas (MG);356,88;71,6;25553;Alto;0
São José da Barra (MG);21,57;314,3;6779;Baixo;0
São José da Lapa (MG);413,09;47,9;19787;Alto;0
São José da Safira (MG);19,05;213,9;4075;Baixo;0
São José da Varginha (MG);20,43;205,5;4198;Baixo;0
São José do Alegre (MG);45;88,8;3996;Médio;0
São José do Divino (MG);11,66;328,7;3833;Baixo;0
São José do Goiabal (MG);30,55;184,5;5636;Médio;0
São José do Jacuri (MG);18,99;345,1;6553;Baixo;0
São José do Mantimento (MG);47,38;54,7;2592;Médio;0
São Lourenço (MG);717,99;58;41643;Alto;0
São Miguel do Anta (MG);44,44;152,1;6759;Médio;0
São Pedro da União (MG);19,32;260,8;5039;Baixo;0
São Pedro dos Ferros (MG);20,75;402,8;8358;Baixo;0
São Pedro do Suaçuí (MG);18,08;308,1;5570;Baixo;0
São Romão (MG);4,22;2434;10271;Baixo;0
São Roque de Minas (MG);3,19;2098,9;6695;Baixo;0
São Sebastião da Bela Vista (MG);29,6;167,2;4949;Baixo;0
São Sebastião da Vargem Alegre (MG);38;73,6;2797;Médio;0
São Sebastião do Anta (MG);71,19;80,6;5738;Médio;0
São Sebastião do Maranhão (MG);20,56;517,8;10646;Baixo;0
São Sebastião do Oeste (MG);14,22;408,1;5803;Baixo;0
São Sebastião do Paraíso (MG);79,74;814,9;64980;Médio;0
São Sebastião do Rio Preto (MG);12,6;128;1613;Baixo;0
São Sebastião do Rio Verde (MG);22,89;92,2;2110;Baixo;0
São Tiago (MG);18,45;572,4;10561;Baixo;0
São Tomás de Aquino (MG);25,52;277,9;7092;Baixo;0
São Thomé das Letras (MG);18;369,7;6655;Baixo;0
São Vicente de Minas (MG);17,85;392,7;7010;Baixo;0
Sapucaí-Mirim (MG);21,89;285,1;6241;Baixo;0
Sardoá (MG);39,42;141,9;5594;Médio;0
Sarzedo (MG);415,46;62,1;25800;Alto;0
Setubinha (MG);20,36;534,7;10886;Baixo;0
Sem-Peixe (MG);16,12;176,6;2847;Baixo;0
Senador Amaral (MG);34,54;151,1;5219;Médio;0
Senador Cortes (MG);20,22;98,3;1988;Baixo;0
Senador Firmino (MG);43,42;166,5;7229;Médio;0
Senador José Bento (MG);19,9;93,9;1869;Baixo;0
Senador Modestino Gonçalves (MG);4,8;952,1;4570;Baixo;0
Senhora de Oliveira (MG);33,28;170,7;5681;Médio;0
Senhora do Porto (MG);9,17;381,3;3497;Baixo;0
Senhora dos Remédios (MG);42,87;237,8;10194;Médio;0
Sericita (MG);42,94;166;7128;Médio;0
Seritinga (MG);15,59;114,8;1790;Baixo;0
Serra Azul de Minas (MG);19,31;218,6;4221;Baixo;0
Serra da Saudade (MG);2,43;335,7;816;Baixo;0
Serra dos Aimorés (MG);39,39;213,6;8414;Médio;0
Serra do Salitre (MG);8,14;1295,3;10544;Baixo;1
Serrania (MG);36,04;209,3;7543;Médio;0
Serranópolis de Minas (MG);8,02;552;4427;Baixo;0
Serranos (MG);9,36;213,2;1996;Baixo;0
Serro (MG);17,11;1217,8;20837;Baixo;0
Sete Lagoas (MG);398,32;537,6;214137;Alto;7
Silveirânia (MG);13,92;157,5;2192;Baixo;0
Silvianópolis (MG);19,31;312,2;6029;Baixo;0
Simão Pereira (MG);18,7;135,7;2538;Baixo;0
Simonésia (MG);37,61;486,5;18297;Médio;0
Sobrália (MG);28,19;206,8;5830;Baixo;0
Soledade de Minas (MG);28,83;196,9;5677;Baixo;0
Tabuleiro (MG);19,32;211,1;4078;Baixo;0
Taiobeiras (MG);25,88;1194,5;30914;Baixo;0
Taparuba (MG);16,25;193,1;3138;Baixo;0
Tapira (MG);3,49;1179,2;4115;Baixo;0
Tapiraí (MG);4,59;407,9;1872;Baixo;0
Taquaraçu de Minas (MG);11,52;329,2;3792;Baixo;0
Tarumirim (MG);19,53;731,8;14292;Baixo;0
Teixeiras (MG);68,1;166,7;11352;Médio;0
Teófilo Otoni (MG);41,56;3242,3;134750;Médio;0
Timóteo (MG);562,7;144,4;81254;Alto;3
Tiradentes (MG);83,82;83;6957;Médio;0
Tiros (MG);3,3;2091,8;6903;Baixo;0
Tocantins (MG);91,01;173,9;15827;Médio;0
Tocos do Moji (MG);34,44;114,7;3950;Médio;0
Toledo (MG);42,14;136,8;5765;Médio;1
Tombos (MG);33,45;285,1;9537;Médio;0
Três Corações (MG);87,88;828;72765;Médio;0
Três Marias (MG);10,57;2678,3;28310;Baixo;0
Três Pontas (MG);78,08;689,8;53860;Médio;0
Tumiritinga (MG);12,58;500,1;6291;Baixo;0
Tupaciguara (MG);13,26;1824;24186;Baixo;0
Turmalina (MG);15,66;1153,1;18058;Baixo;0
Turvolândia (MG);21,08;221;4659;Baixo;0
Ubá (MG);249,16;407,5;101533;Alto;0
Ubaí (MG);14,24;820,5;11684;Baixo;0
Ubaporanga (MG);63,69;189;12037;Médio;0
Uberaba (MG);65,43;4524;296005;Médio;13
Uberlândia (MG);146,78;4115,2;604029;Alto;41
Umburatiba (MG);6,67;405,8;2707;Baixo;0
Unaí (MG);9,18;8447,1;77544;Baixo;1
União de Minas (MG);3,85;1147,4;4417;Baixo;0
Uruana de Minas (MG);5,41;598,5;3238;Baixo;0
Urucânia (MG);74,15;138,8;10292;Médio;0
Urucuia (MG);6,55;2076,9;13604;Baixo;0
Vargem Alegre (MG);55,38;116,7;6463;Médio;0
Vargem Bonita (MG);5,28;409,9;2164;Baixo;0
Vargem Grande do Rio Pardo (MG);9,63;491,5;4733;Baixo;0
Varginha (MG);311,29;395,4;123084;Alto;0
Varjão de Minas (MG);9,29;651,6;6053;Baixo;0
Várzea da Palma (MG);16,13;2220,3;35813;Baixo;0
Varzelândia (MG);23,46;815;19120;Baixo;0
Vazante (MG);10,31;1913,4;19727;Baixo;0
Verdelândia (MG);5,31;1570,6;8340;Baixo;0
Veredinha (MG);8,78;631,7;5546;Baixo;0
Veríssimo (MG);3,38;1031,8;3487;Baixo;0
Vermelho Novo (MG);40,69;115,2;4687;Médio;0
Vespasiano (MG);1468,49;71,2;104556;Alto;0
Viçosa (MG);241,2;299,4;72215;Alto;0
Vieiras (MG);33,11;112,7;3731;Médio;0
Mathias Lobato (MG);19,56;172,3;3370;Baixo;0
Virgem da Lapa (MG);15,67;868,9;13616;Baixo;0
Virgínia (MG);26,41;326,5;8623;Baixo;0
Virginópolis (MG);24,03;439,9;10571;Baixo;0
Virgolândia (MG);20,13;281;5657;Baixo;0
Visconde do Rio Branco (MG);155,91;243,4;37948;Alto;0
Volta Grande (MG);24,36;208,1;5069;Baixo;0
Wenceslau Braz (MG);24,91;102,5;2553;Baixo;0
Afonso Cláudio (ES);32,57;954,7;31095;Médio;1
Águia Branca (ES);21,17;449,6;9518;Baixo;0
Água Doce do Norte (ES);24,32;484;11771;Baixo;0
Alegre (ES);39,82;772,7;30769;Médio;0
Alfredo Chaves (ES);22,67;615,6;13956;Baixo;0
Alto Rio Novo (ES);32,13;227,7;7316;Médio;0
Anchieta (ES);58,61;407,8;23901;Médio;0
Apiacá (ES);38,8;193,6;7512;Médio;0
Aracruz (ES);56,99;1436;81838;Médio;2
Atílio Vivacqua (ES);43,43;226,8;9850;Médio;0
Baixo Guandu (ES);31,68;917,9;29079;Médio;0
Barra de São Francisco (ES);43,53;933,8;40648;Médio;0
Boa Esperança (ES);33,13;428,6;14200;Médio;0
Bom Jesus do Norte (ES);106,45;89;9474;Alto;0
Brejetuba (ES);34,79;342,5;11916;Médio;0
Cachoeiro de Itapemirim (ES);216,57;876,8;189889;Alto;4
Cariacica (ES);1245,6;280;348768;Alto;17
Castelo (ES);52,31;664,2;34744;Médio;3
Colatina (ES);78,54;1423,3;111786;Médio;1
Conceição da Barra (ES);23,95;1187,8;28448;Baixo;0
Conceição do Castelo (ES);31,63;369,3;11681;Médio;0
Divino de São Lourenço (ES);25,69;175,8;4516;Baixo;0
Domingos Martins (ES);25,99;1225,3;31846;Baixo;0
Dores do Rio Preto (ES);40,35;158,5;6395;Médio;0
Ecoporanga (ES);10,17;2283,2;23220;Baixo;0
Fundão (ES);60,9;279,5;17022;Médio;1
Governador Lindenberg (ES);30,22;359,6;10867;Médio;0
Guaçuí (ES);59,54;467,8;27853;Médio;0
Guarapari (ES);176,81;595,5;105290;Alto;4
Ibatiba (ES);92,77;241,1;22367;Médio;0
Ibiraçu (ES);55,93;199,8;11175;Médio;0
Ibitirama (ES);27,19;329,4;8956;Baixo;0
Iconha (ES);61,71;202,9;12521;Médio;0
Irupi (ES);63,56;184,4;11720;Médio;0
Itaguaçu (ES);26,65;530,4;14135;Baixo;0
Itapemirim (ES);55,6;557,3;30986;Médio;2
Itarana (ES);36,38;299,1;10881;Médio;0
Iúna (ES);59,36;460,4;27329;Médio;0
Jaguaré (ES);37,6;656,4;24681;Médio;0
Jerônimo Monteiro (ES);67,09;162,2;10882;Médio;0
João Neiva (ES);57,94;272,8;15806;Médio;0
Laranja da Terra (ES);23,69;457;10826;Baixo;0
Linhares (ES);40,35;3501,6;141290;Médio;16
Mantenópolis (ES);42,44;320,7;13611;Médio;0
Marataízes (ES);252,23;135,4;34152;Alto;0
Marechal Floriano (ES);49,85;286,1;14262;Médio;0
Marilândia (ES);35,89;309,4;11104;Médio;0
Mimoso do Sul (ES);29,87;867,3;25906;Baixo;0
Montanha (ES);16,26;1097,9;17852;Baixo;0
Mucurici (ES);10,5;538,8;5657;Baixo;0
Muniz Freire (ES);27,06;679,9;18398;Baixo;0
Muqui (ES);44,04;326,9;14397;Médio;0
Nova Venécia (ES);31,78;1448,4;46030;Médio;0
Pancas (ES);26,16;823,8;21551;Baixo;0
Pedro Canário (ES);54,82;434,1;23797;Médio;0
Pinheiros (ES);24,5;975,4;23897;Baixo;0
Piúma (ES);242,79;74,6;18112;Alto;0
Ponto Belo (ES);19,6;356,2;6982;Baixo;0
Presidente Kennedy (ES);17,59;586,5;10317;Baixo;0
Rio Bananal (ES);27,16;645,5;17532;Baixo;0
Rio Novo do Sul (ES);55,59;203,7;11324;Médio;0
Santa Leopoldina (ES);17,08;716,4;12236;Baixo;0
Santa Maria de Jetibá (ES);46,46;735,6;34176;Médio;0
Santa Teresa (ES);31,42;694,5;21821;Médio;3
São Domingos do Norte (ES);26,72;299,5;8003;Baixo;0
São Gabriel da Palha (ES);73,61;432,8;31858;Médio;0
São José do Calçado (ES);38,17;272,6;10405;Médio;0
São Mateus (ES);46,53;2343,2;109029;Médio;3
São Roque do Canaã (ES);32,92;342,4;11272;Médio;2
Serra (ES);739,38;553,5;409247;Alto;33
Sooretama (ES);40,18;593,4;23843;Médio;2
Vargem Alta (ES);46,13;414,7;19130;Médio;0
Venda Nova do Imigrante (ES);108,82;187,9;20447;Alto;0
Viana (ES);208,6;311,6;65000;Alto;1
Vila Pavão (ES);20,04;432,7;8671;Baixo;0
Vila Valério (ES);29,78;464,4;13830;Baixo;0
Vila Velha (ES);1951,99;212,4;414603;Alto;98
Vitória (ES);3327,73;98,5;327781;Alto;85
Angra dos Reis (RJ);205,45;825,1;169517;Alto;1
Aperibé (RJ);107,92;94,6;10209;Alto;0
Araruama (RJ);175,55;638;112001;Alto;1
Areal (RJ);102,99;110,9;11422;Alto;0
Armação dos Búzios (RJ);392,16;70,3;27569;Alto;0
Arraial do Cabo (RJ);172,91;160,3;27717;Alto;1
Barra do Piraí (RJ);163,7;579;94782;Alto;2
Barra Mansa (RJ);324,94;547,2;177807;Alto;12
Belford Roxo (RJ);6031,38;77,8;469241;Alto;4
Bom Jardim (RJ);65,86;384,6;25330;Médio;0
Bom Jesus do Itabapoana (RJ);59,13;598,8;35407;Médio;0
Cabo Frio (RJ);453,75;410,4;186219;Alto;0
Cachoeiras de Macacu (RJ);56,9;953,8;54271;Médio;0
Cambuci (RJ);26,4;561,7;14829;Baixo;0
Carapebus (RJ);43,36;308,1;13359;Médio;0
Comendador Levy Gasparian (RJ);76,53;106,9;8181;Médio;0
Campos dos Goytacazes (RJ);115,16;4026,7;463715;Alto;3
Cantagalo (RJ);26,47;749,3;19834;Baixo;0
Cardoso Moreira (RJ);24,02;524,6;12601;Baixo;0
Carmo (RJ);54,07;322,4;17432;Médio;0
Casimiro de Abreu (RJ);76,71;460,8;35348;Médio;0
Conceição de Macabu (RJ);61,08;347,3;21213;Médio;0
Cordeiro (RJ);175,59;116,3;20421;Alto;0
Duas Barras (RJ);29,14;375,1;10930;Baixo;0
Duque de Caxias (RJ);1828,51;467,6;855011;Alto;14
Engenheiro Paulo de Frontin (RJ);99,57;132,9;13233;Médio;0
Guapimirim (RJ);142,7;360,8;51486;Alto;4
Iguaba Grande (RJ);439,91;51,9;22831;Alto;1
Itaboraí (RJ);506,56;430,4;218023;Alto;8
Itaguaí (RJ);395,45;275,9;109105;Alto;2
Italva (RJ);47,86;293,8;14061;Médio;0
Itaocara (RJ);53,09;431,3;22898;Médio;0
Itaperuna (RJ);86,71;1105,3;95841;Médio;0
Itatiaia (RJ);117,41;245,1;28777;Alto;0
Japeri (RJ);1166,37;81,9;95526;Alto;0
Laje do Muriaé (RJ);29,95;250;7488;Baixo;0
Macaé (RJ);169,89;1216,8;206722;Alto;2
Macuco (RJ);67,8;77,7;5268;Médio;0
Magé (RJ);585,13;388,5;227323;Alto;4
Mangaratiba (RJ);103,25;353,1;36458;Alto;2
Maricá (RJ);351,55;362,6;127472;Alto;5
Mendes (RJ);184,83;97;17929;Alto;0
Mesquita (RJ);4310,48;39,1;168540;Alto;0
Miguel Pereira (RJ);85,21;289,2;24643;Médio;4
Miracema (RJ);88,15;304,5;26842;Médio;0
Natividade (RJ);39;386,7;15081;Médio;0
Nilópolis (RJ);8117,62;19,4;157482;Alto;1
Niterói (RJ);3640,8;133,9;487503;Alto;132
Nova Friburgo (RJ);195,07;933,4;182078;Alto;0
Nova Iguaçu (RJ);1527,6;521,2;796185;Alto;12
Paracambi (RJ);262,27;179,7;47130;Alto;0
Paraíba do Sul (RJ);70,77;580,5;41082;Médio;0
Paraty (RJ);40,57;925,1;37531;Médio;0
Paty do Alferes (RJ);82,68;318,8;26358;Médio;0
Petrópolis (RJ);371,85;795,8;295918;Alto;22
Pinheiral (RJ);296,86;76,5;22710;Alto;0
Piraí (RJ);52,07;505,4;26316;Médio;0
Porciúncula (RJ);58,8;302;17758;Médio;1
Porto Real (RJ);326,95;50,7;16576;Alto;0
Quatis (RJ);44,72;286,1;12794;Médio;0
Queimados (RJ);1822,6;75,7;137971;Alto;2
Quissamã (RJ);28,4;712,9;20246;Baixo;0
Resende (RJ);109,35;1095,3;119771;Alto;4
Rio Bonito (RJ);121,7;456,5;55556;Alto;2
Rio Claro (RJ);20,73;840,6;17426;Baixo;0
Rio das Flores (RJ);17,9;478,3;8562;Baixo;0
Rio das Ostras (RJ);461,38;229;105656;Alto;3
Rio de Janeiro (RJ);5265,81;1200,3;6320552;Alto;1805
Santa Maria Madalena (RJ);12,67;814,8;10324;Baixo;0
Santo Antônio de Pádua (RJ);67,27;603,4;40591;Médio;0
São Francisco de Itabapoana (RJ);36,84;1122,4;41349;Médio;0
São Fidélis (RJ);36,39;1031,6;37540;Médio;0
São Gonçalo (RJ);4035,9;247,7;999692;Alto;17
São João da Barra (RJ);71,96;455;32742;Médio;0
São João de Meriti (RJ);13024,56;35,2;458465;Alto;3
São José de Ubá (RJ);27,98;250,3;7003;Baixo;0
São José do Vale do Rio Preto (RJ);91,87;220,4;20248;Médio;0
São Pedro da Aldeia (RJ);264,05;332,8;87876;Alto;1
São Sebastião do Alto (RJ);22,36;397,9;8897;Baixo;0
Sapucaia (RJ);32,38;541,2;17524;Médio;0
Saquarema (RJ);209,96;353,6;74242;Alto;0
Seropédica (RJ);275,53;283,8;78195;Alto;1
Silva Jardim (RJ);22,77;937,5;21347;Baixo;0
Sumidouro (RJ);37,67;395,5;14898;Médio;0
Tanguá (RJ);211,21;145,5;30731;Alto;0
Teresópolis (RJ);212,49;770,6;163745;Alto;1
Trajano de Moraes (RJ);17,44;589,8;10286;Baixo;0
Três Rios (RJ);237,42;326,1;77423;Alto;1
Valença (RJ);55,06;1304,8;71842;Médio;3
Varre-Sai (RJ);49,85;190,1;9476;Médio;0
Vassouras (RJ);63,94;538,1;34406;Médio;0
Volta Redonda (RJ);1412,75;182,5;257827;Alto;61
Adamantina (SP);82,16;411,4;33801;Médio;1
Adolfo (SP);16,85;211,1;3557;Baixo;0
Aguaí (SP);67,72;474,7;32147;Médio;0
Águas da Prata (SP);53,05;143;7586;Médio;0
Águas de Lindóia (SP);287,16;60,1;17258;Alto;1
Águas de Santa Bárbara (SP);13,73;408;5602;Baixo;0
Águas de São Pedro (SP);504,1;5,4;2722;Alto;0
Agudos (SP);35,73;966,2;34522;Médio;1
Alambari (SP);30,66;159,3;4884;Médio;0
Alfredo Marcondes (SP);32,86;118,4;3891;Médio;0
Altair (SP);12,16;313,9;3817;Baixo;0
Altinópolis (SP);16,78;929,8;15602;Baixo;0
Alto Alegre (SP);12,86;319;4102;Baixo;0
Alumínio (SP);200,92;83,8;16837;Alto;0
Álvares Florence (SP);10,74;362,9;3898;Baixo;0
Álvares Machado (SP);67,69;347,4;23516;Médio;0
Álvaro de Carvalho (SP);30,36;153,2;4651;Médio;0
Alvinlândia (SP);35,38;84,8;3000;Médio;0
Americana (SP);1579,59;133,4;210717;Alto;2
Américo Brasiliense (SP);281,99;122,3;34487;Alto;0
Américo de Campos (SP);22,54;253,1;5705;Baixo;0
Amparo (SP);147,75;445,6;65837;Alto;0
Analândia (SP);13,16;326,3;4294;Baixo;0
Andradina (SP);57,39;964,2;55335;Médio;0
Angatuba (SP);21,61;1028;22215;Baixo;0
Anhembi (SP);7,68;736,5;5656;Baixo;0
Anhumas (SP);11,67;320,4;3739;Baixo;0
Aparecida (SP);289,12;121,1;35012;Alto;0
Aparecida d'Oeste (SP);24,86;179;4450;Baixo;0
Apiaí (SP);25,85;974,3;25186;Baixo;0
Araçariguama (SP);116,72;146,3;17076;Alto;0
Araçatuba (SP);155,54;1167,4;181577;Alto;2
Araçoiaba da Serra (SP);106,87;255,4;27295;Alto;0
Aramina (SP);25,39;202,9;5152;Baixo;0
Arandu (SP);21,42;285,9;6124;Baixo;0
Arapeí (SP);15,9;156,8;2493;Baixo;0
Araraquara (SP);207,8;1004,1;208652;Alto;2
Araras (SP);184,3;644,8;118837;Alto;0
Arco-Íris (SP);7,27;264,7;1924;Baixo;0
Arealva (SP);15,53;505;7843;Baixo;0
Areias (SP);12,11;305,2;3696;Baixo;0
Areiópolis (SP);123,34;85,8;10583;Alto;0
Ariranha (SP);64,19;133,2;8550;Médio;0
Artur Nogueira (SP);248,15;178;44171;Alto;0
Arujá (SP);777,35;96,4;74937;Alto;5
Aspásia (SP);26,09;69,3;1808;Baixo;0
Assis (SP);206,7;460,3;95144;Alto;1
Atibaia (SP);264,61;478,4;126589;Alto;2
Auriflama (SP);32,72;434;14200;Médio;0
Avaí (SP);9,18;540,5;4962;Baixo;0
Avanhandava (SP);33,4;338,6;11309;Médio;0
Avaré (SP);68,37;1213,1;82940;Médio;0
Bady Bassitt (SP);134,54;108,5;14598;Alto;0
Balbinos (SP);40,4;91,6;3701;Médio;0
Bálsamo (SP);54,18;150,6;8160;Médio;0
Bananal (SP);16,59;616;10219;Baixo;0
Barão de Antonina (SP);20,35;153,1;3116;Baixo;0
Barbosa (SP);32,14;205,2;6595;Médio;0
Bariri (SP);71,14;444,1;31593;Médio;0
Barra Bonita (SP);235,12;149,9;35244;Alto;0
Barra do Chapéu (SP);12,93;405,7;5246;Baixo;0
Barra do Turvo (SP);7,67;1007,8;7730;Baixo;0
Barretos (SP);71,6;1565,6;112097;Médio;0
Barrinha (SP);195,66;145,6;28488;Alto;0
Barueri (SP);3639,94;66,1;240600;Alto;33
Bastos (SP);118,95;171,9;20448;Alto;0
Batatais (SP);66,48;849,5;56475;Médio;0
Bauru (SP);515,12;667,7;343946;Alto;2
Bebedouro (SP);109,81;683,3;75033;Alto;0
Bento de Abreu (SP);8,87;301,4;2673;Baixo;0
Bernardino de Campos (SP);44,12;244,2;10774;Médio;0
Bertioga (SP);97,23;490;47643;Médio;0
Bilac (SP);44,63;157,9;7047;Médio;0
Birigui (SP);204,79;530,9;108723;Alto;0
Biritiba Mirim (SP);90,1;317,2;28580;Médio;0
Boa Esperança do Sul (SP);19,75;690,8;13643;Baixo;0
Bocaina (SP);29,84;363,9;10859;Baixo;0
Bofete (SP);14,72;653,5;9620;Baixo;0
Boituva (SP);194,07;249;48323;Alto;0
Bom Jesus dos Perdões (SP);183,08;107,6;19699;Alto;0
Bom Sucesso de Itararé (SP);26,73;133,6;3571;Baixo;0
Borá (SP);6,8;118,5;806;Baixo;0
Boracéia (SP);34,95;122,1;4267;Médio;0
Borborema (SP);26,31;552,3;14531;Baixo;0
Borebi (SP);6,59;348;2293;Baixo;0
Botucatu (SP);85,88;1482,6;127326;Médio;0
Bragança Paulista (SP);286,26;512,6;146737;Alto;0
